1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
171	-0.700597	32.394516	4.520299	0.018920	2.9
172	-0.704976	31.619961	4.586837	0.013659	3.6
173	-0.712107	30.845401	4.655363	0.017247	3.3
174	-0.674811	30.070852	4.725967	0.016588	3.3
175	-0.687016	31.070846	4.635208	0.013851	3.2
176	-0.693891	30.300595	4.704803	0.012230	3.4
177	-0.717974	31.298616	4.615020	0.014858	3.2
178	-0.695482	32.296372	4.528623	0.019792	3.4
179	-0.702401	33.296372	4.445218	0.020984	3.3
180	-0.681121	34.296188	4.364843	0.011308	3.2
181	-0.679383	33.521640	4.426851	0.013473	3.6
182	-0.670293	32.748269	4.490548	0.018110	3.3
183	-0.699043	31.992330	4.554606	0.010379	3.3
184	-0.690509	31.232900	4.620827	0.011527	3.2
185	-0.659446	30.608992	4.676689	0.029478	3.3
186	-0.669078	29.839728	4.747452	0.019356	3.3
187	-0.681825	30.839728	4.655873	0.016236	3.3
188	-0.676712	31.839728	4.567760	0.008658	3.3
189	-0.708538	32.828687	4.483839	0.012646	3.3
190	-0.699556	33.575703	4.422466	0.013891	3.4
191	-0.696911	34.575589	4.342899	0.021025	3.3
192	-0.698333	35.233266	4.292107	0.017601	2.8
193	-0.674853	34.458705	4.352052	0.020651	3.3
194	-0.716671	33.684144	4.413696	0.024627	3.3
195	-0.674034	34.684144	4.334433	0.015271	3.5
196	-0.671815	35.682424	4.258096	0.016682	3.5
197	-0.710881	34.908940	4.317005	0.012083	3.5
198	-0.686928	35.908940	4.241147	0.017789	3.3
199	-0.687254	36.908940	4.167909	0.016747	3.3
200	-0.702173	36.134642	4.224393	0.025119	3.3
201	-0.701009	35.360081	4.282449	0.018895	3.3
202	-0.698378	36.360081	4.207790	0.018347	3.3
203	-0.694325	37.360079	4.135690	0.020988	3.2
204	-0.681534	36.585518	4.191317	0.012878	3.3
205	-0.729027	35.815463	4.248125	0.018312	3.3
206	-0.664585	36.383783	4.206052	0.018699	3.3
207	-0.646286	36.899004	4.168624	0.011925	3.1
208	-0.685616	36.125956	4.225035	0.007978	3.2
209	-0.689756	37.120079	4.152768	0.015840	3.4
210	-0.688696	36.345960	4.208826	0.017796	3.3
211	-0.690705	35.571539	4.266442	0.017039	3.2
212	-0.709421	36.571538	4.192335	0.019420	3.3
213	-0.655757	37.571535	4.120759	0.022619	3.3
214	-0.676545	38.571535	4.051586	0.016531	3.3
215	-0.669636	39.571534	3.984697	0.015704	3.2
216	-0.687743	40.208880	3.943205	0.016267	3.3
217	-0.689074	41.208880	3.879819	0.014020	3.3
218	-0.672847	40.437095	3.928558	0.021599	3.2
219	-0.701507	41.435402	3.865742	0.011975	4.3
220	-0.668873	40.662592	3.914191	0.018625	4.1
221	-0.712951	39.920936	3.961843	0.016292	3.3
222	-0.693130	40.830675	3.903551	0.014088	3.4
223	-0.697099	40.056322	3.953058	0.016619	3.4
224	-0.712482	41.056322	3.889357	0.020527	3.3
225	-0.711856	40.281761	3.938516	0.019593	3.3
226	-0.704989	39.507200	3.988933	0.022468	3.3
227	-0.698558	38.732639	4.040658	0.017760	3.2
228	-0.710006	39.732639	3.974126	0.013846	3.4
229	-0.679983	40.732171	3.909780	0.025061	3.1
230	-0.680362	41.722092	3.848073	0.019103	3.3
231	-0.718947	42.722092	3.787685	0.016160	3.3
232	-0.677004	43.722092	3.729162	0.016487	3.3
233	-0.687456	44.718485	3.672622	0.021291	3.0
